"id","Y","HMGCS","HMGCR","MK","PMK","DPMVD","DXPS","DXR","CMT","CMK","MECPS","HDS","HDS2","HDR","HDR2","PMK2","IPDDI","IPDDI2","IPDDI1","DMAT","GTT"
"1235785.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","1","0","0"
"411479.10","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1"
"997889.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","1","0","0","1","0"
"997890.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","1","0","0","1","0"
"6666666.205264","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1"
"1235787.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","1","0","0","1","0"
"1339348.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","1","0","0"
"821.40","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0"
"435590.9","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","1","1"
"997891.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","1","1"
"6666666.205254","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","1","1"
"702446.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","1","1"
"1235786.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","1","1"
"997892.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","1","0","0","1","0"
"702447.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","1","0","0","1","1"
"702444.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","1","0","0","1","1"
"657309.4","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1"
"1349822.3","1","0","0","0","0","0","1","1","1","1","1","0","1","0","1","0","0","0","0","0","0"
"1796646.5","1","0","0","0","0","0","1","1","1","1","1","0","1","0","1","0","0","0","1","0","0"
